ProductCategories_AssetClasses,Asset_Class
"Cash, cash balances at central banks and other demand deposits",Cash and demand deposits
Derivatives – Hedge accounting,Hedge accounting derivatives
Fair value changes of the hedged items in portfolio hedge of interest rate risk,Hedged items interest rate risk fair value changes
Financial assets at amortised cost,Amortised cost financial assets
Financial assets at fair value through other comprehensive income,Financial assets in other  income
Financial assets designated at fair value through profit or loss,Designated valued financial assets
Financial assets held for trading,Trading financial assets
Intangible assets,Intangible assets
"Investments in subsidiaries, joint ventures and associates","Investments in subsidiaries, joint ventures, and associates"
Non-current assets and disposal groups classified as held for sale,Non-current assets for sale
Non-trading financial assets mandatorily at fair value through profit or loss,Mandatorily valued non-trading  assets
Other assets,Other assets
Tangible assets,Tangible assets
Tax assets,Tax assets
(TBC),(TBC)
