Framework,Industry
CSDDD,Financial Services
CSRD,Financial Services
EU Taxonomy,Financial Services
EuGB,Financial Services
IFRS/ISSB (inc CDSB+VRF),Financial Services
MIFID II,Financial Services
Pillar 3,Financial Services
SDR,Financial Services
SECR,Financial Services
SFRD,Financial Services
TCFD,Financial Services
TNFD,Financial Services
UK Taxonomy,Financial Services
CSDDD,Consumer
CSRD,Consumer
EU Taxonomy,Consumer
CSDDD,Government & Public Services
CSRD,Government & Public Services
EU Taxonomy,Government & Public Services
CSDDD,"Energy, Resources & Industrials"
CSRD,"Energy, Resources & Industrials"
EU Taxonomy,"Energy, Resources & Industrials"
CSDDD,Life Sciences & Health Care
CSRD,Life Sciences & Health Care
EU Taxonomy,Life Sciences & Health Care
CSDDD,"Tech, Media & Telecom"
CSRD,"Tech, Media & Telecom"
EU Taxonomy,"Tech, Media & Telecom"
TCFD,Consumer
TCFD,Government & Public Services
TCFD,"Energy, Resources & Industrials"
TCFD,Life Sciences & Health Care
TCFD,"Tech, Media & Telecom"
TNFD,Consumer
TNFD,Government & Public Services
TNFD,"Energy, Resources & Industrials"
TNFD,Life Sciences & Health Care
TNFD,"Tech, Media & Telecom"
IFRS/ISSB (inc CDSB+VRF),Consumer
IFRS/ISSB (inc CDSB+VRF),Government & Public Services
IFRS/ISSB (inc CDSB+VRF),"Energy, Resources & Industrials"
IFRS/ISSB (inc CDSB+VRF),Life Sciences & Health Care
IFRS/ISSB (inc CDSB+VRF),"Tech, Media & Telecom"
UK Taxonomy,Consumer
UK Taxonomy,Government & Public Services
UK Taxonomy,"Energy, Resources & Industrials"
UK Taxonomy,Life Sciences & Health Care
UK Taxonomy,"Tech, Media & Telecom"
